
Singkatan Negara Kesatuan Republik Indonesia,NKRI,NPWP
Hewan pemakan segala disebut,Ommnivora,Karnivora
Singkatan Panitia Persiapan Kemerdekaan Indonesia,PPKI,PPKKI
Siapa Presiden pertama Indonesia,Soekarno,Soedjarwo
Berapa hari dalam sebulan,30 hari,35 hari 
Siapa Presiden kedua Indonesia,Soeharto,Soeharyo
Alat musik yang dipetik,Gitar,Biola
Siapa Presiden ketiga Indonesia,B.J.Habibie,Habib Ja'far
Mata uang Negara Indonesia,Rupiah,Dolar
Hari Kesaktian Pancasila diperingati,1 Oktober,1 Juni
Siapa Presiden keempat Indonesia,Gus Dur,Abdullah
Ibukota Provinsi Jawa Timur,Surabaya,Sidoarjo
Siapa Presiden kelima Indonesia,Megawati,Bu Puan
Bahan bakar pesawat terbang,Avtur,Bensin
Siapa Presiden Indonesia sekarang,Jokowi,Prabowo
Zona waktu untuk daerah Papua,WIT,WITA
Matahari terbit dari mana,Timur,Barat
Hasil dari 10 + 30 x 1 adalah,40,20
Peringatan Hari Kemerdekaan Indonesia,17 Agustus,13 Maret
Zona waktu untuk daerah Jember,WIB,WIT
